# Chinese Douban reviews for books without existing reviews
# Format: Title | Rating | Review text
# Traditional Chinese, natural English code-switching, ~200-350 chars

Norwegian Wood | 5 | 第一本村上春樹，也是讓我知道小說可以用日常的堆積來構建的一本書。Toru在直子和綠之間的猶豫，不是選擇題，而是一種存在狀態：他同時活在死者和生者的世界裡，哪邊都回不去。林少華的翻譯把村上那種簡潔的日文處理得異常好。渡邊說「死並非生的對立面，而作為生的一部分永存」——整本書都在為這句話做註腳。初美的死被塞在一個括號裡，像grief真正到來的方式：不是高潮，而是伏擊。讀完三天沒法聽Beatles。

Kafka on the Shore | 4 | 讀完挪威的森林後以為村上是寫安靜現實主義的，結果翻開海邊的卡夫卡就被打臉了。兩條線交替：十五歲的田村卡夫卡和會跟貓說話的中田，一條是希臘悲劇，一條是超自然偵探故事。大島是村上筆下最完整的配角之一，跟卡夫卡討論舒伯特和希臘悲劇的那些對話構成了整本書的知識骨架。但Oedipal的部分更像是provocation而非earned consequence，肯德基上校的角色也有點太whimsical了。

The Wind-Up Bird Chronicle | 4 | 岡田亨大概是小說史上最被動的主角之一，而發條鳥年代記就是在測試「被動」本身能不能構成一種反抗。妻子失蹤，貓失蹤，他的反應是爬進一口枯井裡坐在黑暗中。滿洲國的段落是全書的anchor——那個戰俘被活活剝皮的場景跟了我很久。把戰爭暴行嵌入一個找貓的domestic story裡，逼你看到歷史的惡和個人的unhappiness共享同一個根系。第三卷有些拖沓，but the well itself, dark, silent, transformative，是我一直會回到的意象。

Dance Dance Dance | 5 | 在沒有讀過尋羊冒險記的情況下讀了Dance Dance Dance，到達海豚酒店時完全不知道它曾經的樣子。舊酒店已被拆除，取而代之的是一座sterile的企業大廈，在隱藏的樓層裡，羊男穿著髒兮兮的suit等著：「繼續跳舞，不要停，不要問為什麼。」五反田是書中最讓人心碎的角色——他擁有narrator沒有的一切，名氣、美貌、財富，而他是那個停止跳舞的人。村上信任understatement的力量，而他是對的。

South of the Border, West of the Sun | 4 | 村上stripped down to the bone的一本。始有一切：好婚姻，好事業，兩個孩子。島本出現後，滿足變得irrelevant。「南方」是Nat King Cole的溫暖記憶，「西方」是西伯利亞的delirium，農夫走向地平線凍死在路上。但最深的subplot是泉：始在高中時因為無聊跟她表姐上了床，幾乎沒注意到自己造成的damage，多年後看到泉的樣子，比島本的消失更加devastating。

Hard-Boiled Wonderland and the End of the World | 5 | 兩條敘事線交替的結構是這本書的成就。「冷酷異境」裡narrator的潛意識被當作encryption device；「世界盡頭」裡一座圍牆小鎮安靜得令人窒息，新來者在圖書館裡從獨角獸頭骨中讀取夢境，逐漸失去影子。兩條線最終collapse into each other，而圍牆小鎮就是narrator自己的潛意識——這是村上最structurally satisfying的twist。影子的緩慢消失，surrender your emotional core in exchange for perfect safety的代價，是一個我一直帶著的意象。村上所有小說裡，這本的architecture最讓我impressed。

1Q84 | 3 | 一千頁，一千頁啊。前提irresistible：青豆走下高速公路的緊急階梯進入另一個1984，天上掛著兩個月亮，Little People從死者口中鑽出來編織air chrysalis。但村上幾乎什麼都沒用這些裝置做。Little People沒有解釋，air chrysalis沒有解釋，小說的engine最後是兩個人小學時牽過一次手然後找了彼此二十年的愛情故事。這愛情故事單獨來看是感人的，但它不需要一千頁、一個cult、一個偵探和一個metaphysical architecture。1Q84是我讀過的最長也最exhausting的「less is more」論證。

after the quake | 3 | 六個故事設定在1995年神戶地震後的幾週，沒有一個發生在神戶。形式上的conceit很優雅：trauma as displacement，地震始終在screen外，通過電視和rumour和不安被感知。Super-Frog Saves Tokyo是standout，Honey Pie的溫暖也earned honestly。但其餘四個故事blur together，寫完這段評論已經想不起UFO in Kushiro和Thailand的內容了。有兩個好故事和四個已經忘記的故事的合集。

Sputnik Sweetheart | 3 | K愛堇，堇愛Miu，Miu不愛任何人。摩天輪的場景——Miu被困在上面一整夜，透過窗戶看著自己的doppelgänger——是村上最concentrated的dissociation意象。但這本書太thin了。堇在希臘島上消失，本應有Barn Burning失蹤女人的uncanny weight，卻只registering as a plot device。讀起來像是村上沒有寫出來的小說的sketch。

Colorless Tsukuru Tazaki | 4 | 色彩名字的conceit是hook也是limitation。多崎作在十九歲時被四個朋友驅逐，trauma幾乎殺死了他。三十六歲時逐一拜訪朋友才知道真相：白指控他強姦了她。Tsukuru的「無色」，他那種necessary but inessential的感覺，是村上最psychologically precise的人物研究。但灰田的subplot是個問題：出現，講了一個關於六指鋼琴師和死亡token的nested story，然後消失了。Liszt的Le mal du pays是整本書的key，melancholy是對的。

A Wild Sheep Chase | 4 | 大一時讀的，讀Dance Dance Dance的時候已經遇過羊男和海豚酒店，回來讀尋羊冒險記是一種奇怪的體驗：羊男的第一次出場本該是revelation，卻變成了recognition。小說借用了hardboiled偵探小說的形式，但偵探genre要求agency，村上的narrator幾乎沒有。鼠的死是情感中心，村上用characteristic的克制處理：narrator到了，鼠已經走了，loss不是shock而是confirmation。村上不是政治作家，他是孤獨的作家，孤獨是這本書做得最好的事。

The Elephant Vanishes | 4 | 十七個短篇，Barn Burning是standout：一個富有的熟人casually confess自己的嗜好是燒穀倉，narrator的女友消失了。故事跟最好的村上一樣運作：something is wrong，wrongness永遠不會被resolved，absence of resolution本身就是meaning。李滄東的電影Burning把class-warfare subtext擴展成了對韓國不平等的full-blown indictment，但原作的力量在於refusal to explain。「象的消失」本身也幾乎一樣好——村上most unsettling的時候，是fantastic以quiet violation of proportion的方式入侵。

